report_date,incident number,incident name,start date,incident type,county,latitude,longitude,area,area measurement
8/11/2017,1431_4015,Sweetwater,8/10/2017,WF,4015,35.14226,-113.8326,35.0,ACRES
7/31/2017,1578_53019,Fish Hatchery,7/30/2017,WF,53019,48.66922,-118.6172,35.0,ACRES
2/11/2017,5006_48019,Georgan Ranch,2/10/2017,WF,48019,29.694333299999997,-99.088,35.0,ACRES
2/9/2017,6063_48387,6063,2/8/2017,WF,48387,33.3570833,-94.7580667,35.0,ACRES
6/7/2017,7079_49063,Sheep Canyon,6/5/2017,WF,49063,35.095,-96.15888890000001,35.0,ACRES
6/28/2017,10120_32007,Beaver Creek,6/27/2017,WF,32007,41.414167,-115.59299999999999,35.0,ACRES
8/28/2017,13098_6037,Sierra,8/27/2017,WF,6037,34.50367,-118.2241,35.0,ACRES
8/8/2017,30521_6051,Water,8/7/2017,WF,6051,38.40123,-119.2121,35.0,ACRES
9/2/2017,40219_32033,North Creek,9/1/2017,WF,32033,40.060666999999995,-114.469333,35.0,ACRES
5/13/2017,140266_12127,Old Luceren Park,5/11/2017,WF,12127,18.4677778,-66.1180556,35.0,ACRES
10/6/2017,2/4/2017_12083,Cooper Rd (07),10/5/2017,WF,12083,34.5669444,-119.9525,35.0,ACRES
8/27/2017,1321_4013,Rincon,8/26/2017,WF,4013,33.81138,-111.4639,34.9,ACRES
3/18/2017,103_45087,409 Road,3/17/2017,WF,45087,34.54415,-81.47523000000001,34.826,ACRES
7/19/2017,237_53039,Haystack,7/18/2017,WF,53039,45.664159999999995,-120.9511,34.72,ACRES
4/11/2017,170076_21051,Hurricane,4/10/2017,WF,21051,36.992806,-83.62675,34.7,ACRES
8/24/2017,20280_32011,Sulphur,8/23/2017,WF,32011,40.064867,-116.1588,34.3,ACRES
7/8/2017,148_30075,Coal Creek,7/7/2017,WF,30075,45.47268,-106.0905,34.1,ACRES
7/11/2017,179_30033,Germaine,7/10/2017,WF,30033,47.38309,-107.8755,34.1,ACRES
1/31/2017,9_29179,Dry Fork,1/30/2017,WF,29179,37.541470000000004,-91.05788000000001,34.0,ACRES
5/25/2017,48_53007,Spromberg,5/23/2017,WF,53007,47.64438,-120.6474,34.0,ACRES
